Customer,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
IL19217,Bachelor,393900,60021,99,0,Personal Auto,Four-Door Car,882,California,F
SR38658,High School or Below,1223187,43244,103,0,Personal Auto,Luxury,494,Arizona,F
YD87931,Doctor,495165,46896,35354,1,Personal Auto,Four-Door Car,31,Washington,M
HG65722,Doctor,1281910,10105,172,3,Personal Auto,SUV,0,Oregon,F
BU27331,Bachelor,446851,0,73,3,Personal Auto,Four-Door Car,579,Arizona,F
XM45289,High School or Below,551434,23218,71,0,Personal Auto,Two-Door Car,447,Oregon,F
KP34198,Bachelor,334387,0,92,0,Corporate Auto,Four-Door Car,529,California,F
SH90947,High School or Below,229447,0,62,0,Personal Auto,Four-Door Car,313,Arizona,F
WE95729,College,3670742,24804,104,0,Personal Auto,SUV,593,Oregon,F
PY51963,Bachelor,3347334,33190,106,0,Corporate Auto,SUV,508,California,F
RB69909,High School or Below,798343,36014,69,3,Special Auto,Four-Door Car,173,Nevada,F
NW21079,Master,487938,67163,61,2,Personal Auto,Two-Door Car,33,Washington,F
FR46645,Bachelor,429399,16701,113,0,Personal Auto,Four-Door Car,831,California,F
SY17488,College,716439,46623,91,0,Corporate Auto,Four-Door Car,436,Arizona,F
AP67935,College,761951,64749,64,0,Special Auto,Four-Door Car,302,California,F
FS37417,High School or Below,395800,0,101,0,Personal Auto,SUV,484,Arizona,F
ML29312,High School or Below,449949,16969,124,2,Personal Auto,SUV,704,Oregon,F
UB61619,Master,405956,11621,108,0,Personal Auto,Four-Door Car,518,Oregon,F
CD86811,Bachelor,445811,17622,65,1,Personal Auto,Four-Door Car,312,Arizona,F
RU83859,Bachelor,811033,11489,105,0,Personal Auto,Two-Door Car,504,California,F
FG63582,Bachelor,333976,0,94,0,Personal Auto,Two-Door Car,863,Oregon,F
NN71951,High School or Below,2426101,66525,100,0,Personal Auto,SUV,104,California,F
WB37082,Bachelor,661397,0,63,0,Personal Auto,Four-Door Car,676,Arizona,F
SM52139,College,293069,33663,73,0,Personal Auto,Four-Door Car,350,Washington,F
FL82372,College,867219,22547,112,0,Corporate Auto,SUV,537,Oregon,F
DP45816,High School or Below,1163866,61486,97,0,Personal Auto,Two-Door Car,465,Arizona,F
GW33762,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456,Oregon,F
RZ33670,College,1172777,29879,102,0,Personal Auto,Four-Door Car,500,California,F
PY70169,High School or Below,2264383,93011,113,0,Personal Auto,SUV,281,Oregon,F
MO91628,Master,261447,65186,65,0,Personal Auto,Two-Door Car,5,Oregon,F
HW87852,Master,245175,26840,64,2,Personal Auto,Four-Door Car,307,Oregon,F
HB20453,Bachelor,678127,0,104,1,Personal Auto,Luxury,982,Oregon,F
BN87372,Bachelor,497480,75644,65,3,Personal Auto,Two-Door Car,467,Oregon,F
YX23800,Bachelor,859160,38984,73,0,Personal Auto,Four-Door Car,350,Oregon,F
DZ87709,High School or Below,559216,71811,71,0,Personal Auto,Four-Door Car,29,Oregon,F
XW13033,College,800947,20961,67,0,Personal Auto,Four-Door Car,321,Nevada,F
SP81997,Master,7714,41275,96,0,Personal Auto,Four-Door Car,41,Washington,F
OM82309,Bachelor,5816655,61321,186,1,Personal Auto,Luxury,427,California,F
ZU35962,College,802522,0,77,0,Personal Auto,Two-Door Car,25,California,F
VH85817,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787,California,F
DT85712,Doctor,411853,34378,102,0,Personal Auto,SUV,489,California,F
YJ88573,Master,252307,43072,63,0,Personal Auto,Four-Door Car,302,Nevada,F
SQ19467,College,655421,25222,90,0,Personal Auto,Four-Door Car,475,Oregon,F
YB66933,Bachelor,538275,77552,68,1,Corporate Auto,Four-Door Car,45,Washington,F
ET79815,College,592672,23091,96,5,Personal Auto,Four-Door Car,460,California,F
QC35222,Bachelor,268347,48269,69,3,Corporate Auto,Four-Door Car,282,California,F
CJ15590,Bachelor,269518,32720,67,0,Personal Auto,Four-Door Car,321,Oregon,F
OI48267,College,604702,20396,76,1,Personal Auto,Four-Door Car,364,California,F
JY67916,College,1317101,21513,119,1,Personal Auto,Two-Door Car,679,Oregon,F
OW15518,College,1595001,0,87,1,Personal Auto,Two-Door Car,46,Washington,F
CZ33664,Bachelor,252765,80744,63,0,Corporate Auto,Four-Door Car,11,Oregon,F
WK30175,Bachelor,267209,52822,67,0,Corporate Auto,Two-Door Car,350,Oregon,F
ON44465,High School or Below,531329,0,77,1,Personal Auto,Four-Door Car,863,California,F
TV87155,Bachelor,2094619,69738,74,1,Personal Auto,Four-Door Car,492,Oregon,F
KH48895,Master,837535,17780,109,0,Personal Auto,SUV,132,Arizona,F
NZ30757,Bachelor,480166,18107,62,0,Personal Auto,Four-Door Car,297,California,F
RI22468,Bachelor,574594,57740,74,3,Personal Auto,Four-Door Car,269,Arizona,F
FZ30935,College,606611,32627,76,0,Personal Auto,Two-Door Car,380,Oregon,F
UG93476,College,800230,0,107,0,Personal Auto,SUV,513,California,F
AB96670,College,239391,0,70,0,Personal Auto,Four-Door Car,425,California,F
XK64261,Bachelor,476281,65795,62,1,Corporate Auto,Two-Door Car,49,Oregon,F
EV68375,College,433038,60475,107,0,Personal Auto,Four-Door Car,513,California,F
UN51653,High School or Below,940272,0,130,0,Personal Auto,SUV,936,California,F
TO96662,Bachelor,696669,41837,88,0,Personal Auto,Four-Door Car,142,Oregon,F
MR52087,Bachelor,769406,32303,65,0,Personal Auto,Four-Door Car,45,California,F
DE75225,High School or Below,871756,0,117,1,Personal Auto,SUV,561,Oregon,F
EP80820,Bachelor,592874,40531,74,0,Personal Auto,Two-Door Car,30,California,F
GU99037,College,245297,79898,62,1,Corporate Auto,Four-Door Car,271,Oregon,F
WI57118,College,670157,56398,85,0,Personal Auto,Four-Door Car,408,California,F
GP39118,High School or Below,499655,71600,63,0,Personal Auto,Two-Door Car,46,Washington,M
MQ14219,College,849269,27804,109,0,Personal Auto,SUV,784,Arizona,F
KN20603,Bachelor,771349,45506,66,2,Personal Auto,Four-Door Car,316,Oregon,F
SG20925,Master,518579,99428,6464,1,Personal Auto,Four-Door Car,48,Washington,F
JI70886,High School or Below,729006,0,102,1,Corporate Auto,SUV,489,California,F
VF72557,High School or Below,477294,20993,133,0,Personal Auto,SUV,638,Oregon,F
OX28638,High School or Below,680649,37839,86,0,Personal Auto,Two-Door Car,465,Arizona,F
SK55033,Bachelor,246978,92711,62,0,Personal Auto,Two-Door Car,368,California,F
OO88645,College,310392,74665,78,2,Corporate Auto,Four-Door Car,236,California,F
FM14335,College,1048491,61108,89,0,Personal Auto,Four-Door Car,49,Washington,F
CW82151,Bachelor,890273,46833,112,0,Personal Auto,Luxury,64,California,F
DY22043,High School or Below,549944,88768,68,0,Personal Auto,Two-Door Car,326,Oregon,F
SH36774,High School or Below,1502359,28262,192,0,Personal Auto,Luxury,921,California,F
EM43724,Bachelor,250910,33555,63,0,Personal Auto,Four-Door Car,101,Nevada,F
FH85960,College,3122174,42780,113,1,Personal Auto,Four-Door Car,542,Oregon,F
XA55993,Master,313350,58850,78,0,Personal Auto,Four-Door Car,143,Oregon,F
GO36627,College,383745,21880,97,0,Special Auto,Four-Door Car,424,Arizona,F
QH48047,College,1179049,25251,66,0,Personal Auto,Four-Door Car,316,Oregon,F
HS28694,High School or Below,282986,25317,71,0,Personal Auto,Two-Door Car,50,Washington,F
UH65059,High School or Below,430580,24188,109,0,Personal Auto,Luxury,523,Arizona,F
FV21968,Bachelor,597397,41611,74,0,Special Auto,Four-Door Car,113,Nevada,F
QA87025,Bachelor,567044,28406,72,1,Personal Auto,Four-Door Car,192,Oregon,F
TQ13499,College,473174,69833,118,0,Personal Auto,Four-Door Car,828,Arizona,F
BU44523,High School or Below,802637,0,74,0,Corporate Auto,Four-Door Car,532,Arizona,F
MS41162,High School or Below,402296,0,117,0,Personal Auto,SUV,975,Arizona,F
PU25891,High School or Below,961831,80536,119,0,Special Auto,Luxury,53,Oregon,F
LH92841,Bachelor,725595,88891,89,0,Personal Auto,Four-Door Car,50,Washington,F
SX26335,College,955292,97732,79,0,Personal Auto,Four-Door Car,289,Oregon,F
AZ95587,Bachelor,1038855,61222,89,0,Special Auto,Four-Door Car,392,Arizona,F
DS81757,College,247012,0,74,0,Personal Auto,Two-Door Car,721,Oregon,M
OJ94107,Master,561906,50335,140,0,Personal Auto,SUV,456,Arizona,M
LP84436,High School or Below,904711,0,127,0,Personal Auto,Luxury,1087,California,F
FF22360,Doctor,268731,82210,68,4,Personal Auto,Four-Door Car,51,Washington,F
LM19287,High School or Below,373150,0,96,0,Personal Auto,Four-Door Car,460,Oregon,F
ZU18643,Bachelor,366077,64495,92,0,Corporate Auto,Four-Door Car,251,Nevada,M
AZ82578,College,792882,0,72,0,Corporate Auto,Four-Door Car,345,California,F
XC67861,Bachelor,501175,28859,67,3,Corporate Auto,Two-Door Car,321,Arizona,F
YC43143,High School or Below,798825,77330,99,0,Personal Auto,Four-Door Car,99,Arizona,F
EK59571,College,388545,0,105,0,Corporate Auto,Four-Door Car,504,Oregon,M
PA38372,High School or Below,935773,33060,117,0,Personal Auto,Four-Door Car,56,Washington,F
RO18530,Master,254068,42557,65,0,Personal Auto,Four-Door Car,57,Washington,M
PD27940,High School or Below,488516,26372,126,0,Personal Auto,SUV,604,Arizona,M
BS77946,Bachelor,975330,17514,127,0,Personal Auto,SUV,8,Arizona,F
YM50253,Bachelor,294615,89270,74,0,Personal Auto,Four-Door Car,316,California,F
NR15332,High School or Below,258111,29757,65,0,Personal Auto,Four-Door Car,312,California,M
RC62865,College,351738,51814,92,0,Personal Auto,Four-Door Car,56,Oregon,M
CC15295,Bachelor,974335,24028,82,0,Personal Auto,Four-Door Car,393,Oregon,F
KA61892,College,387364,28142,105,0,Personal Auto,Luxury,701,Arizona,M
OS94884,Bachelor,764928,52705,64,1,Personal Auto,Two-Door Car,128,Arizona,F
ND87334,High School or Below,228759,0,63,0,Corporate Auto,Two-Door Car,679,California,M
OY51402,High School or Below,825576,54040,103,0,Personal Auto,SUV,59,Washington,F
YL74911,College,871492,0,118,0,Personal Auto,SUV,566,California,F
GK92563,Doctor,681923,22492,85,0,Personal Auto,Two-Door Car,61,Washington,F
HL53154,Bachelor,741619,0,77,2,Personal Auto,Four-Door Car,554,California,M
RI78966,Master,777115,21876,68,0,Personal Auto,Four-Door Car,465,Oregon,M
IC13702,Bachelor,696834,0,69,1,Personal Auto,Four-Door Car,496,California,F
BE10809,High School or Below,425028,0,61,1,Personal Auto,Four-Door Car,292,California,F
HT87217,High School or Below,1977656,70699,82,0,Personal Auto,Four-Door Car,256,Oregon,F
TH95618,High School or Below,2134346,0,74,1,Personal Auto,Four-Door Car,355,California,F
TS19868,College,241313,27501,63,0,Personal Auto,Four-Door Car,542,California,M
LP45550,Doctor,1536384,15897,101,0,Personal Auto,Four-Door Car,303,Oregon,F
QR87004,College,845696,25141,73,1,Personal Auto,Four-Door Car,25,Nevada,F
OE75747,College,218964,0,61,3,Personal Auto,Four-Door Car,292,Nevada,F
DX91392,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787,California,M
AB72731,Bachelor,463998,28358,117,0,Personal Auto,Luxury,84,California,F
GX84338,Doctor,382443,62530,95,0,Personal Auto,Four-Door Car,61,Washington,F
IS12901,Bachelor,596811,90972,74,0,Personal Auto,Two-Door Car,232,Arizona,F
BN90616,Bachelor,859033,63110,72,0,Personal Auto,Four-Door Car,68,Washington,F
HH90090,Bachelor,407663,29549,104,0,Personal Auto,Luxury,710,California,F
IU25463,Bachelor,1225260,0,115,1,Personal Auto,Four-Door Car,552,California,F
KC11055,Bachelor,1693627,39411,217,2,Personal Auto,Luxury,1122,Nevada,F
PD33979,High School or Below,489243,21709,62,0,Personal Auto,Four-Door Car,408,Oregon,M
NK71023,Bachelor,994230,67890,85,0,Personal Auto,Four-Door Car,408,Nevada,M
AB13432,Bachelor,373583,0,110,0,Personal Auto,SUV,792,California,M
OZ97704,High School or Below,1311752,84311,111,4,Personal Auto,SUV,532,California,F
UF46533,College,457452,99316,114,0,Corporate Auto,SUV,754,California,F
XP47431,Bachelor,547006,54507,138,0,Personal Auto,SUV,702,Arizona,F
GK73582,Bachelor,297884,64586,76,0,Personal Auto,Four-Door Car,206,California,F
RV98763,College,641096,61709,82,2,Personal Auto,Four-Door Car,275,Oregon,M
II62831,Master,447902,94656,111,1,Special Auto,SUV,459,California,M
XK33449,High School or Below,238373,0,69,0,Special Auto,Two-Door Car,496,California,F
TR85083,Bachelor,276449,61085,70,1,Personal Auto,Two-Door Car,336,California,M
EO95328,Bachelor,792010,89284,67,3,Personal Auto,Two-Door Car,321,Oregon,F
EN21086,High School or Below,688909,0,63,0,Personal Auto,Four-Door Car,302,Arizona,F
YL83902,Bachelor,327419,31686,81,0,Personal Auto,Four-Door Car,430,Washington,F
AZ62651,High School or Below,995170,56855,255,0,Corporate Auto,Luxury,1836,Oregon,M
ZW25874,Bachelor,252155,53703,67,2,Special Auto,Four-Door Car,67,Oregon,M
EH41854,High School or Below,2370611,0,96,1,Personal Auto,Two-Door Car,844,Washington,F
MW70227,College,604702,20396,76,1,Personal Auto,Four-Door Car,364,California,M
SL22297,Master,1114030,27679,150,0,Personal Auto,SUV,722,California,F
RV14138,Bachelor,433406,23904,123,3,Personal Auto,SUV,590,Nevada,F
UO62808,High School or Below,279974,65351,69,0,Corporate Auto,Four-Door Car,481,Arizona,F
ZX64745,College,792313,0,113,0,Personal Auto,SUV,1124,California,M
FL34139,High School or Below,368811,0,63,3,Personal Auto,Four-Door Car,669,California,M
TS11219,College,1206745,0,116,0,Personal Auto,SUV,1284,California,M
XX12304,College,292497,64459,72,0,Personal Auto,Four-Door Car,240,California,F
SD64087,College,1501409,32961,190,0,Corporate Auto,SUV,912,California,M
OY38576,High School or Below,927723,71416,116,0,Corporate Auto,SUV,556,Oregon,F
BG76355,Bachelor,627412,68964,78,0,Personal Auto,Four-Door Car,115,Washington,F
IP66913,High School or Below,388664,78108,98,0,Personal Auto,Two-Door Car,470,California,M
LE95702,College,438627,10621,67,0,Special Auto,Four-Door Car,321,California,M
KX54357,College,1136526,84910,95,0,Corporate Auto,Two-Door Car,383,Washington,M
EZ78112,High School or Below,561096,77493,70,0,Special Auto,Four-Door Car,307,California,F
XN16891,College,291289,81097,74,0,Personal Auto,Four-Door Car,355,Arizona,M
XK31350,College,691572,96610,85,0,Corporate Auto,Four-Door Car,520,Oregon,F
CC30924,College,626266,30110,159,0,Corporate Auto,Luxury,466,Oregon,M
IT78748,High School or Below,650339,22081,84,0,Special Auto,Two-Door Car,451,Oregon,F
KY33386,High School or Below,800739,0,112,0,Personal Auto,Luxury,537,Washington,F
CO44221,College,292991,98473,72,0,Personal Auto,Four-Door Car,345,California,M
LK60013,Bachelor,596955,97431,74,0,Personal Auto,Four-Door Car,355,Oregon,F
DE21533,Bachelor,547315,93870,69,0,Personal Auto,Four-Door Car,331,California,M
YS94121,High School or Below,564539,50366,72,0,Personal Auto,Four-Door Car,428,Nevada,M
UK68427,High School or Below,636926,34498,83,0,Personal Auto,Two-Door Car,398,Washington,M
TE49565,College,1183376,16552,103,0,Personal Auto,SUV,494,Oregon,F
RA88421,College,612110,26787,77,0,Personal Auto,Four-Door Car,369,Oregon,F
KQ51983,College,515936,0,74,0,Personal Auto,Two-Door Car,831,Nevada,M
CD88896,High School or Below,251459,43860,65,0,Corporate Auto,Four-Door Car,156,Nevada,F
YV22553,High School or Below,866861,21474,114,2,Corporate Auto,SUV,373,Arizona,M
WU14435,Bachelor,496096,18174,66,0,Corporate Auto,Four-Door Car,395,California,M
XV84099,Bachelor,550413,0,73,0,Corporate Auto,Four-Door Car,350,Arizona,F
RI24911,College,750745,60920,64,0,Personal Auto,Two-Door Car,231,Arizona,M
KO26461,High School or Below,3226985,41520,90,0,Personal Auto,Four-Door Car,289,Arizona,M
HI14283,Bachelor,565703,0,152,0,Personal Auto,SUV,729,Oregon,F
PT50227,High School or Below,506175,0,68,0,Personal Auto,Two-Door Car,326,Arizona,M
BH36570,Bachelor,591278,72208,73,0,Personal Auto,Two-Door Car,350,California,M
TX17484,Bachelor,1518227,53863,63,0,Personal Auto,Four-Door Car,105,California,F
CT41158,College,1074703,66446,136,0,Corporate Auto,SUV,639,Washington,M
AO87348,College,205062,0,61,0,Personal Auto,Four-Door Car,292,Washington,M
DE55857,Bachelor,246544,64997,63,1,Personal Auto,Four-Door Car,383,Washington,F
LF66923,High School or Below,534312,64460,66,0,Corporate Auto,Two-Door Car,316,Nevada,F
CN24514,College,811982,46618,67,0,Personal Auto,Four-Door Car,99,Arizona,F
UW32074,College,460526,0,64,0,Corporate Auto,Four-Door Car,307,Oregon,F
HP36979,College,640878,49988,84,5,Personal Auto,Two-Door Car,566,California,M
PP40919,College,237653,0,91,5,Personal Auto,Two-Door Car,436,California,F
RO73268,Bachelor,321107,16269,86,0,Corporate Auto,Two-Door Car,412,California,M
HO61691,Bachelor,509452,72006,64,0,Personal Auto,Four-Door Car,307,Arizona,F
BS13062,High School or Below,2575527,0,81,2,Personal Auto,Four-Door Car,388,Arizona,F
FO35655,Bachelor,867222,0,245,0,Corporate Auto,Luxury,2345,Oregon,M
HR10526,Master,804473,44320,67,0,Personal Auto,Four-Door Car,321,California,M
IA63417,High School or Below,400151,19782,108,0,Personal Auto,Two-Door Car,773,Arizona,F
BH35016,Bachelor,1670611,63933,70,0,Personal Auto,Two-Door Car,424,Nevada,F
PK52952,Doctor,854441,28224,109,0,Personal Auto,SUV,523,Arizona,M
OD76309,College,780531,21073,106,1,Personal Auto,SUV,508,Washington,F
IL28481,Bachelor,611275,63243,77,0,Personal Auto,Four-Door Car,364,Oregon,M
GY55092,High School or Below,477294,20993,133,0,Personal Auto,SUV,638,Nevada,M
UF33451,Bachelor,1097909,94827,135,0,Personal Auto,SUV,354,Oregon,F
CF15558,Master,500426,39161,63,1,Personal Auto,Two-Door Car,283,California,F
JM62924,Bachelor,1322304,37534,84,2,Personal Auto,Four-Door Car,403,Washington,M
EM66435,Bachelor,262331,80210,65,0,Corporate Auto,Four-Door Car,20,Oregon,F
QX45933,Bachelor,1784019,0,62,0,Personal Auto,Four-Door Car,385,California,M
JI71369,College,510611,30110,64,0,Personal Auto,Four-Door Car,140,California,F
JU93290,College,1793060,21708,68,0,Personal Auto,Four-Door Car,326,Arizona,F
GU66096,High School or Below,545734,94731,67,0,Personal Auto,Four-Door Car,321,Arizona,M
UC33108,Bachelor,656364,32375,83,0,Personal Auto,Four-Door Car,398,California,M
LW93867,College,481252,16531,63,0,Corporate Auto,Four-Door Car,102,Oregon,M
OU78470,Master,2932804,32006,94,0,Corporate Auto,Four-Door Car,56,Arizona,F
XW90265,Bachelor,577352,81676,72,0,Personal Auto,Two-Door Car,463,Arizona,F
HS67749,College,684711,71038,86,0,Corporate Auto,Four-Door Car,205,California,M
VZ51506,High School or Below,359531,0,103,0,Corporate Auto,Luxury,741,Arizona,F
UI64281,Master,2285561,20832,65,0,Personal Auto,Two-Door Car,56,Nevada,F
AE98193,High School or Below,785941,0,113,0,Personal Auto,SUV,813,Washington,M
AZ74055,High School or Below,411557,52405,103,0,Personal Auto,Four-Door Car,494,Oregon,M
XS76911,High School or Below,502963,0,133,0,Personal Auto,Luxury,795,Arizona,F
AY40674,Bachelor,482141,26583,1005,4,Personal Auto,SUV,614,Washington,F
NA12740,Master,500431,25486,65,0,Special Auto,Two-Door Car,72,Oregon,M
UA84837,College,863005,24065,111,0,Corporate Auto,Four-Door Car,532,Arizona,M
DJ51510,High School or Below,932208,70435,116,0,Personal Auto,Four-Door Car,67,Arizona,F
VM58985,College,1672756,0,76,2,Personal Auto,Two-Door Car,402,California,M
OH60605,High School or Below,365253,39679,92,0,Personal Auto,Two-Door Car,641,Oregon,F
UO98052,College,615860,0,89,0,Personal Auto,Four-Door Car,342,Nevada,M
NC53424,Bachelor,437608,0,69,4,Personal Auto,Two-Door Car,331,California,M
LQ13873,High School or Below,556945,53565,71,1,Personal Auto,Four-Door Car,340,Nevada,M
LA97014,Bachelor,257651,37574,66,1,Personal Auto,Two-Door Car,412,Washington,M
NB79936,Bachelor,834698,48259,108,0,Personal Auto,Two-Door Car,73,Washington,M
NT89061,High School or Below,632392,78532,78,0,Personal Auto,Four-Door Car,374,Arizona,F
AF10970,Bachelor,597314,96163,73,0,Corporate Auto,Four-Door Car,350,Arizona,F
ZG48513,Bachelor,470667,0,72,0,Personal Auto,Four-Door Car,345,California,M
JQ59145,High School or Below,809341,0,114,1,Personal Auto,Luxury,722,California,M
FE84989,College,503574,72672,63,0,Personal Auto,Four-Door Car,259,Washington,M
JT52858,Bachelor,902786,99002,112,1,Personal Auto,Four-Door Car,537,Oregon,F
MC62068,High School or Below,728888,79494,91,0,Personal Auto,Four-Door Car,396,California,M
EU27538,Master,1804247,35704,225,0,Personal Auto,Luxury,358,Oregon,M
RH42306,Bachelor,499206,0,71,0,Corporate Auto,Four-Door Car,653,Arizona,F
US23612,High School or Below,910226,26049,118,0,Personal Auto,Two-Door Car,121,Oregon,F
WV76014,Doctor,254040,70125,64,0,Special Auto,Four-Door Car,92,Arizona,M
RK96223,College,1294189,52369,110,1,Personal Auto,SUV,528,California,M
MF82000,Bachelor,236534,0,66,2,Special Auto,Four-Door Car,159,Washington,F
FM46980,College,572076,41770,72,0,Personal Auto,Four-Door Car,476,Arizona,M
SY56792,High School or Below,703553,0,101,0,Corporate Auto,Four-Door Car,727,Oregon,M
RF61565,College,263697,31911,67,0,Personal Auto,Four-Door Car,321,California,M
IM94808,Bachelor,539583,70051,68,0,Corporate Auto,Four-Door Car,42,Nevada,M
VI14730,High School or Below,838263,19683,117,1,Personal Auto,Luxury,561,Oregon,M
YR34119,College,3116174,30916,112,0,Personal Auto,SUV,200,Washington,F
RR77985,Bachelor,288774,0,80,0,Personal Auto,Four-Door Car,676,Oregon,F
QD28391,College,742584,84302,62,0,Personal Auto,Four-Door Car,76,Washington,M
WV17090,Bachelor,2558572,0,116,0,Corporate Auto,SUV,830,California,M
TM23514,College,1027260,60145,132,0,Personal Auto,SUV,580,Oregon,M
MQ68407,Bachelor,437636,63774,111,0,Personal Auto,Four-Door Car,60,Oregon,F
GJ59592,Bachelor,531889,25134,67,0,Corporate Auto,Four-Door Car,321,California,F
FY56083,Bachelor,471976,37057,61,1,Personal Auto,Four-Door Car,47,Oregon,M
UA94723,High School or Below,442803,58577,110,0,Personal Auto,SUV,303,Oregon,F
FW91032,High School or Below,587917,85857,73,0,Corporate Auto,Four-Door Car,100,California,M
DE34457,Doctor,941690,70602,116,0,Personal Auto,SUV,481,Oregon,F
HD32044,Master,828815,33816,106,2,Corporate Auto,Four-Door Car,508,Oregon,F
HH30454,Bachelor,3265483,0,153,0,Personal Auto,SUV,1101,Oregon,M
AH84063,College,471945,89642,121,4,Corporate Auto,SUV,86,Oregon,F
QA17596,Bachelor,390347,60068,98,0,Personal Auto,Two-Door Car,470,California,F
XI41052,Bachelor,545725,50044,139,0,Personal Auto,SUV,667,California,F
DI30528,Master,272535,36650,69,1,Personal Auto,Four-Door Car,56,California,F
SC66359,College,443397,50653,110,0,Corporate Auto,SUV,262,Arizona,F
EN61670,Doctor,533246,68931,66,0,Personal Auto,Four-Door Car,309,Arizona,F
DQ10761,Bachelor,231509,0,73,1,Corporate Auto,Four-Door Car,350,Oregon,M
BQ51587,College,541195,0,73,0,Personal Auto,Four-Door Car,365,California,F
JE21522,Bachelor,958733,39266,80,0,Personal Auto,Four-Door Car,384,California,M
WS47147,College,2210350,0,102,0,Personal Auto,SUV,489,California,M
ZA64638,High School or Below,976494,0,98,1,Personal Auto,Four-Door Car,705,Nevada,F
EW38459,Bachelor,256715,40864,65,0,Corporate Auto,Four-Door Car,9,Nevada,F
QW87316,College,265062,39035,68,0,Personal Auto,Four-Door Car,244,Oregon,F
IC43478,Bachelor,1126436,34923,98,0,Personal Auto,Two-Door Car,639,California,M
TE34064,High School or Below,216852,0,63,0,Personal Auto,Four-Door Car,453,California,M
